"Age_1","Age_2","Age_3","Age_4","Age_5","Age_6","Age_7","Age_8","Age_9","NAA","Catch","Fmax","Index_1","Index_2","Catchability_1","Catchability_2","Rec_sigma","NAA_sigma","Rho_a","Rho_y","Convergence","AIC","OM","EM","Match","nsim"
1.11388296081272,1.1233295892726,1.10296998732896,1.06210676965576,1.03588610054188,1.01081804324304,1.02124544117633,1.01383671155545,1.03610599103971,1.05078732922672,1.00578666416644,0.936537313004362,1.33000086530705,1.38400548398436,0.840137940635107,0.914041649371605,1.75538898408366,0,0,0,1,-3879.38091695411,1,4,FALSE,5
1.11661324426178,1.11153227339672,1.11395774028038,1.13679655837436,1.16813878743262,1.15254961248907,1.19914892262897,1.19813052130301,1.21797104187456,1.16227818222246,1.01073163159571,0.966678889121514,1.44551586292223,1.2748544942172,0.891734798467794,0.786469750047358,1.72940260729894,0,0,0,0,-4207.79421017302,1,1,TRUE,6
1.11661955456902,1.11153858663091,1.113965398501,1.13680516230496,1.1681492392218,1.15256169896311,1.19916102315279,1.19814326652217,1.21798396433019,1.16228854245337,1.01073322580707,0.966676489968342,1.44551575019543,1.27484804619887,0.891728807336254,0.786459346525358,1.72943341373271,0,0,0,0,-4207.79420949635,1,2,FALSE,6
1.12023792892412,1.1134841289104,1.11528231120947,1.13732469405237,1.16714424133716,1.15057116103522,1.1964419054266,1.19533972997027,1.21200982967237,1.16094975020173,1.00068449027564,0.960596936152921,1.20147495238609,1.12936749140816,0.743903672914259,0.701257964181066,1.72552758193164,0,0,0,0,-4207.19671997667,1,3,FALSE,6
1.12023821632395,1.11348433182431,1.11528408100418,1.13732563719319,1.16714657863189,1.1505732038559,1.19644490557328,1.19533851691797,1.2120023057502,1.16094994509387,1.00068531229212,0.960603968859595,1.20146944073362,1.12936532887213,0.74390070860879,0.70125970793947,1.72553893641117,0,0,0,0,-4207.19671965329,1,4,FALSE,6
1.10207406069028,1.10020551803414,1.11046948954403,1.07988933694966,1.07176159714193,1.09846844843881,1.06207360727328,1.11529009783375,0.964503058190289,1.07533264417573,1.0057086074265,1.04592128716379,1.54184679544622,1.23688445371546,0.97398523759746,1.03985610042405,1.64757535937701,0,0,0,1,-3746.39635634367,1,1,TRUE,7
1.10207406069027,1.10020551803413,1.11046948954402,1.07988933694965,1.07176159714192,1.0984684484388,1.06207360727327,1.11529009783374,0.964503058190286,1.07533264417573,1.0057086074265,1.04592128716379,1.54184679544621,1.23688445371545,0.97398523759746,1.03985610042405,1.64757535937701,0,0,0,1,-3746.39635634367,1,2,FALSE,7
1.09849508699264,1.0956751151936,1.10505078413131,1.07361539731538,1.06415113972272,1.08978011366318,1.05416099292234,1.10668149378534,0.957222248214516,1.06829216061855,0.995697094132717,1.04129006070969,1.27745518648383,1.09741243447939,0.812526841007217,0.928349113408884,1.6525277737629,0,0,0,1,-3744.62580903005,1,3,FALSE,7
1.09849508699261,1.09567511519358,1.10505078413129,1.07361539731536,1.0641511397227,1.08978011366316,1.05416099292233,1.10668149378533,0.957222248214513,1.06829216061853,0.995697094132706,1.04129006070969,1.27745518648381,1.09741243447937,0.812526841007217,0.928349113408884,1.6525277737629,0,0,0,1,-3744.62580903005,1,4,FALSE,7
1.10223649730892,1.11521269381307,1.07703471184993,1.0036102376779,1.00509515274862,1.01993570380263,1.01364073759541,1.02177306183639,0.981806505085653,1.0297636005512,1.00225916423037,1.02199884773897,1.5574241386329,1.31049501634572,1.18097187345831,1.30704494561137,1.50200490654962,0,0,0,1,-3726.48645140333,1,1,TRUE,8
